Symbol,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
,ASX:5GOV,VanEck 5-10 Year Australian Government Bond ETF (ASX:5GOV),https://www.listcorp.com/asx/5gov/vaneck-5-10-year-australian-government-bond-etf,"	1939600",48.49,-0.56,-1.14,Financials
,ASX:TTA,TTA Holdings Limited (ASX:TTA),https://www.listcorp.com/asx/tta/tta-holdings-limited,"	1923930",0.014,0,0,Consumer Discretionary
,ASX:XGOV,VanEck 10+ Year Australian Government Bond ETF (ASX:XGOV),https://www.listcorp.com/asx/xgov/vaneck-10-year-australian-government-bond-etf,"	1920400",48.01,-0.47,-0.97,Financials
,ASX:GMTL,Global X Green Metal Miners ETF (ASX:GMTL),https://www.listcorp.com/asx/gmtl/global-x-green-metal-miners-etf,"	1903460",7.61,-0.01,-0.13,Financials
,ASX:YPB,YPB Group Limited (ASX:YPB),https://www.listcorp.com/asx/ypb/ypb-group-limited,"	1858650",0.002,0,-20,Industrials
,ASX:JPEQ,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund) (ASX:JPEQ),https://www.listcorp.com/asx/jpeq/jpmorgan-us-100q-equity-premium-income-active-etf-managed-fund,"	1814400",51.84,-0.56,-1.07,Financials
,ASX:AQX,Alice Queen Limited (ASX:AQX),https://www.listcorp.com/asx/aqx/alice-queen-limited,"	1771210",0.014,0,0,Materials
,ASX:CMO,Cosmo Metals Limited (ASX:CMO),https://www.listcorp.com/asx/cmo/cosmo-metals-limited,"	1734830",0.05,0,0,Materials
,ASX:EQS,Equity Story Group Limited (ASX:EQS),https://www.listcorp.com/asx/eqs/equity-story-group-limited,"	1704590",0.04,0,0,Financials
,ASX:DMM,DMC Mining Limited (ASX:DMM),https://www.listcorp.com/asx/dmm/dmc-mining-limited,"	1647250",0.055,0,0,Materials
,ASX:BP8,BPH Global Ltd (ASX:BP8),https://www.listcorp.com/asx/bp8/bph-global-ltd,"	1615560",0.001,0,0,Health Care
,ASX:OEQ,Orion Equities Limited (ASX:OEQ),https://www.listcorp.com/asx/oeq/orion-equities-limited,"	1564920",0.1,0,0,Financials
,ASX:ATM,Aneka Tambang (Persero) Tbk (ASX:ATM),https://www.listcorp.com/asx/atm/aneka-tambang,"	1551340",1.185,0,-0.42,Materials
,ASX:RGS,Regeneus Ltd (ASX:RGS),https://www.listcorp.com/asx/rgs/regeneus,"	1532180",0.005,0,0,Health Care
,ASX:SRY,Story-I Limited (ASX:SRY),https://www.listcorp.com/asx/sry/story-i-limited,"	1505620",0.004,0,0,Consumer Discretionary
